barcode,brand,colors,pattern,occasion,more_attributes,category,style,material,tops_fit,sleeve_type,tops_length,overclothes_closure,blazer_neckline_type,underarm_sleeve_length,neckline_type,sleeve_length,heels_height,overclothes_neckline_type,overclothes_type,waist_type,bottoms_length,skirt_type,skirt_length,bottoms_fit,jumpsuit_length,overclothes-sleeveless_type,poncho_type,slippers-shoe_type,sportswear_type,sweatshirt_type,tank_type,bottoms_type
tensor(50267401060101),Xandres Gold,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50391201080101),Verpass,,plain,casual;dating;nightout,Not Known,skirt,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49911501410101),Yoek,multicolor,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49032503020101),Lyle & Scott,black,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50558101050101),Mayerline,multicolor;white,floral;leaf,casual;dating,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48549801020101),Kocca,black,,casual;dating,Not Known,dress,casual,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49032503020101),Lyle & Scott,black,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49913701050101),Part Two,black,,casual,Not Known,Not Known,casual,Not Known,oversized-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51298802050101),Betty Barclay,,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48614701040101),River Woods,multicolor,,casual;dating,Not Known,skirt,feminine,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49246501030101),King Louie,black,,casual;dating,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47787901020101),MAC,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,3-4-long,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48408701040101),Caroline Biss,,plain,casual;dating,Not Known,dress,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50565901040101),Caroline Biss,green,plain,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48609901080101),Via Appia Due,multicolor,,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48730001050101),Betty Barclay,blue,,casual,buttons;cargo,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,buttons-closure,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49107702040101),Caroline Biss,,vertical-stripes,casual;winter,Not Known,Not Known,casual,Not Known,oversized-tops,straight-sleeve,thigh-length,Not Known,Not Known,Not Known,v-neck,short-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50730001040101),Fabienne Chapot,multicolor,,casual,,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49587101030101),Smashed Lemon,multicolor,floral,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48045401040101),Gigue,multicolor;white,leaf,casual;dating;summer,Not Known,skirt,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47835101030101),Julia June,,plain,casual;dating,Not Known,skirt,feminine,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48958001020101),Scotch & Soda,white,,casual,Not Known,Not Known,casual,cotton,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50821601080101),Accent,multicolor;white,leaf,casual;dating;summer,Not Known,skirt,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50548101050101),Betty Barclay,multicolor,,casual,,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48618101020101),River Woods,multicolor,horizontal-stripes,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50315801030101),Heart Mind,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50267401060101),Xandres Gold,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50575001030101),Second Female,black,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(49929201040101),Joseph Ribkoff,black,,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(49109301040101),Caroline Biss,blue;multicolor,floral;leaf,casual,Not Known,t-shirt,casual,Not Known,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49108101040101),Caroline Biss,,marled,casual;home-lounge;winter,Not Known,Not Known,casual,Not Known,oversized-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47965901030101),Joseph Ribkoff,,plain,casual,,Not Known,casual,Not Known,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
